Family,Taxon,Former distribution,Extinction date ,min.–max. where available)1,Extinction date (min.–max. where available)1,Justification notes2,Species / subspecies status3,,,,,,,,,,,
Procellariidae,Large St Helena Petrel Pterodroma rupinarum,St Helena,1502,,1502,The species presumably became extinct soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Procellariidae,Small St Helena Petrel Bulweria bifax,St Helena,1502,,1502,The species presumably became extinct soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Rallidae,St Helena Crake Atlantisia podarces,St Helena,1502,,1502,The species presumably became extinct soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Rallidae,St Helena Rail Porzana astrictocarpus,St Helena,1502,,1502,The species presumably became extinct soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Columbidae,St Helena Dove Dysmoropelia dekarchiskos,St Helena,1502,,1502,The species presumably became extinct soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Upupidae,St Helena Hoopoe Upupa antaios,St Helena,1502,,1502,The species was presumably hunted to extinction by people and introduced predators soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Strigidae,Reunion Owl Mascarenotus grucheti,Réunion,1610,,1610,The species presumably became extinct soon after the island's colonisation in the early 17th century (BirdLife International 2011).,EX,,,,,,,,,,,
Rallidae,Ascension Crake Mundia elpenor,"Ascension I, St Helena",1656,,1656,The only record comes from 1656. It probably went extinct due to predation by introduced rats (Rattus spp.) (Ashmole 1963).,EX,,,,,,,,,,,
Raphidae,Dodo Raphus cucullatus,Mauritius,1662,,1662,"The species probably went extinct on mainland Mauritius in the early 1930s (Mlíkovský 2004), but the last record is of birds killed on Ile d’Ambre in 1662. These were probably the last individuals of the species (Cheke 2006).",EX,,,,,,,,,,,
Falconidae,Reunion Kestrel Falco duboisi,Réunion,1672,1671–1672),1672 (1671–1672),"The only historical record of small falcons is of the ""emerillons"" reported by Dubois in 1671–1672 (BirdLife International 2011).",EX,,,,,,,,,,,
Columbidae,Reunion Pigeon Columba duboisi,Réunion,1674,,1674,The species was described in 1674 and is likely to have gone extinct in the early 1700s (BirdLife International 2011).,EX,,,,,,,,,,,
Psittacidae,Broad-billed Parrot Lophopsittacus mauritianus,Mauritius,1680,1673–1693),1680 (1673–1693),"Hoffman gave the last definite reports of the species based on observations in 1673–1675. They probably died out around 1680, and the species was not mentioned in reports from 1693 or later (Cheke 1987).",EX,,,,,,,,,,,
Ardeidae,Reunion Night-heron Nycticorax duboisi,Réunion,1687,1674–1700),1687 (1674–1700),The only historical record of the species is by Dubois. By 1700 it was extinct (BirdLife International 2011).,EX,,,,,,,,,,,
Anatidae,Reunion Shelduck Alopochen kervazoi,Réunion,1691,1671–1710),1691 (1671–1710),"Dubois mentioned finding geese on the island in 1671–1672, but the species was specifically mentioned to have become extinct by Boucher in 1710(BirdLife International 2011).",EX,,,,,,,,,,,
Rallidae,Red Rail Aphanapteryx bonasia,Mauritius,1693,,1693,"The species probably went extinct around the time that Leguat wrote that it was ‘very rare’, in 1693 (Cheke 2006).",EX,,,,,,,,,,,
Rallidae,Mascarene Coot Fulica newtoni,Mascarenes,1693,,1693,"Last reported on Réunion by Dubois in 1672, and on Mauritius by Leguat in 1693 (BirdLife International 2011).",EX,,,,,,,,,,,
Anatidae,Mauritius Shelduck Alopochen mauritianus,Mauritius,1696,1693–1698),1696 (1693–1698),"By 1693, the species was rare and, by 1698, it was extinct (BirdLife International 2011).",EX,,,,,,,,,,,
Anatidae,Mauritius Duck Anas theodori,Mauritius,1696,,1696,The species was last mentioned as extant in 1696 (BirdLife International 2011).,EX,,,,,,,,,,,
Ardeidae,Mauritius Night-heron Nycticorax mauritianus,Mauritius,1697,1693–1700),1697 (1693–1700),"Leguat's description of ""great flights of bitterns"" in 1693 probably refers to this species. By 1700 it was extinct (BirdLife International 2011).",EX,,,,,,,,,,,
Columbidae,Rodrigues Blue-pigeon Alectroenas rodericana,"Rodrigues, Mauritius",1726,,1726,It was last recorded by Tafforet in 1726 (Cheke 1987).,EX,,,,,,,,,,,
Strigidae,Rodrigues Owl Mascarenotus murivorus,"Rodrigues, Mauritius",1726,,1726,It was last recorded by Tafforet in 1726 (Cheke 1987).,EX,,,,,,,,,,,
Rallidae,Reunion Gallinule Porphyrio coerulescens,Réunion,1730,,1730,Extinct by around 1730. Known only from travellers’ descriptions (BirdLife International 2011).,EX,,,,,,,,,,,
Ardeidae,Rodrigues Night-heron Nycticorax megacephalus,"Rodrigues, Mauritius",1744,1726–1761),1744 (1726–1761),"Last recorded by Tafforet in 1726. In 1761, Pingré specifically noted that there were no longer any ""butors"" on the island (BirdLife International 2011).",EX,,,,,,,,,,,
Rallidae,Rodrigues Rail Aphanapteryx leguati,"Rodrigues, Mauritius",1744,1726–1761),1744 (1726–1761),"The species was last recorded by Tafforet in 1726. In 1761, Pingré noted that it was extinct (BirdLife International 2011).",EX,,,,,,,,,,,
Sturnidae,Rodrigues Starling Necropsar rodericanus,"Rodrigues, Mauritius",1744,1726–1761),1744 (1726–1761),"It was reported by Tafforet in 1926, but has not been seen since. Pingré failed to find any in a 1961 visit (Cheke 1987).",EX,,,,,,,,,,,
Cuculidae,St Helena Cuckoo Nannococcyx psix,St Helena,1750,,1750,The species presumably went extinct as a result of the deforestation of the island in the 18th century (BirdLife International 2011).,EX,,,,,,,,,,,
Psittacidae,Lesser Antillean Macaw Ara guadeloupensis,Guadeloupe,1760,,1760,"It was rare by 1760, and presumably went extinct soon after (BirdLife International 2011).",EX,,,,,,,,,,,
Threskiornithidae,Reunion Ibis Threskiornis solitarius,Mascarenes,1761,,1761,The last report was by Pingré (1763) who visited Rodrigues in 1761 and reported the bird to be near extinction (BirdLife International 2011).,EX,,,,,,,,,,,
Psittacidae,Rodrigues Parrot Necropsittacus rodericanus,"Rodrigues, Mauritius",1761,,1761,"Last reported in 1763 based on observations from 1761, the species was presumably hunted to extinction soon after (BirdLife International 2011).",EX,,,,,,,,,,,
Psittacidae,Mauritius Grey Parrot Lophopsittacus bensoni,Mascarenes,1764,,1764,The species was last reported in 1764 (BirdLife International 2011).,EX,,,,,,,,,,,
Raphidae,Rodrigues Solitaire Pezophaps solitaria,"Rodrigues, Mauritius",1770,1761–1778),1770 (1761–1778),"Pingré was informed of the birds' presence in 1761, but Morel reported in 1778 that they were certainly extinct (Cheke 1987).",EX,,,,,,,,,,,
Psittacidae,Raiatea Parakeet Cyanoramphus ulietanus,"Raiatea, French Polynesia",1773,,1773,Known from two specimens collected in 1773 (BirdLife International 2011).,EX,,,,,,,,,,,
Columbidae,Tanna Ground-dove Gallicolumba ferruginea,"Tanna, Vanuatu",1774,,1774,Known only from Forster's 1774 painting (BirdLife International 2011).,EX,,,,,,,,,,,
Psittacidae,Guadeloupe Parakeet Aratinga labati,Guadeloupe,1775,,1775,"Probably declined to extinction due to hunting in the second half of the 18th century. Only known from descriptions, the former existence of this bird is plausible biogeographically and because described details cannot refer to other known species (BirdLife International 2011).",EX,,,,,,,,,,,
Scolopacidae,White-winged Sandpiper Prosobonia ellisi,"Moorea, French Polynesia",1777,,1777,"Known only from a specimen collected in 1777, the species was presumably was driven to extinction by introduced rats (Rattus spp.) in the late 18th century (BirdLife International 2011).",EX,,,,,,,,,,,
Scolopacidae,Tahitian Sandpiper Prosobonia leucoptera,"Tahiti, French Polynesia",1777,,1777,"The last specimen, now lost, was taken by Forster and Anderson in 1777 (Greenway 1967).",EX,,,,,,,,,,,
Psittacidae,Guadeloupe Amazon Amazona violacea,Guadeloupe,1779,,1779,"Noted by Buffon in 1779 to be very rare, the species presumably became extinct soon after (BirdLife International 2011).",EX,,,,,,,,,,,
Rallidae,Miller's Rail Porzana nigra,"Tahiti, French Polynesia",1784,,1784,"The species is known from illustrations by Miller from 1784 (although these are sometimes considered to refer to Spotless Crake), and it presumably became extinct soon after this (BirdLife International 2011).",EX,,,,,,,,,,,
Psittacidae,Mascarene Parrot Mascarinus mascarinus,Réunion,1790,1775–1804),1790 (1775–1804),"The last accounts of wild birds were from 1775, and birds were not mentioned by Bory in 1804, so it may have been hunted to extinction in the wild by then. A captive bird survived in the King of Bavaria's menagerie until at least 1834 (BirdLife International 2011).",EX,,,,,,,,,,,
Psittacidae,Martinique Amazon Amazona martinicana,Martinique,1790,1779–1800),1790 (1779–1800),"The species was noted by Buffon in 1779, but it declined very rapidly to extinction in the latter half of the 18th century (BirdLife International 2011).",EX,,,,,,,,,,,
Anatidae,Amsterdam Duck Anas marecula,"Amsterdam I, French Southern Territories",1793,,1793,The last report (of presumably this species) was by Barrow in 1793 on St Paul (BirdLife International 2011).,EX,,,,,,,,,,,
Psittacidae,Jamaican Red Macaw Ara gossei,Jamaica,1800,1765–1800),1800 (1765–1800),"A specimen was taken around 1765, and the species was presumably hunted to extinction around the end of the 18th century (BirdLife International 2011).",EX,,,,,,,,,,,
Psittacidae,Dominican Green-and-yellow Macaw Ara atwoodi,Martinique,1800,,1800,"Known from the writings of Atwood in 1791, the species presumably went extinct in the late 18th or early 19th century (BirdLife International 2011).",EX,,,,,,,,,,,
Dromaiidae,King Island Emu Dromaius ater,"King I, Australia",1804,1802–1805),1804 (1802–1805),"The last wild specimen was collected in 1802, and it was extinct in the wild by 1805. A captive bird survived in France until 1822 (Pfennigwerth 2010).",EX,,,,,,,,,,,
Psittacidae,Jamaican Green-and-yellow Macaw Ara erythrocephala,Jamaica,1810,,1810,"Described in 1847, the species was presumably hunted to extinction in the early 19th century (BirdLife International 2011).",EX,,,,,,,,,,,
Rallidae,White Gallinule Porphyrio albus,"Lord Howe I, Australia",1812,1790–1834),1812 (1790–1834),"Not uncommon when discovered in 1790, this species had probably already vanished by the time the island was colonised in 1834 (BirdLife International 2011).",EX,Table S1.Extinct and Critically Endangered (Possibly Extinct) avian taxa,,,,,,,,,,
Dromaiidae,Kangaroo Island Emu Dromaius baudinianus,"Kangaroo I, Australia",1819,1802–1836),1819 (1802–1836),"It was common when collected in 1802. The last bird was reported to have been killed 'some years before' 1836, when the island was settled permanently (Morgan and Sutton 1836).",EX,PLoS One. 2012; 7(10): e47080. Global Patterns and Drivers of Avian Extinctions at the Species and Subspecies Level,,,,,,,,,,
Columbidae,Norfolk Island Ground-dove Gallicolumba norfolciensis,Norfolk Island,1820,1800–1840),1820 (1800–1840),"The species was present in 1800 (Hindwood 1965), but not detected in 1840 (Moore 1985).",EX,"Judit K. Szabo, Nyil Khwaja, Stephen T. Garnett, and Stuart H. M. Butchart",,,,,,,,,,
Monarchidae,Maupiti Monarch Pomarea pomarea,"Maupiti, French Polynesia",1823,,1823,The species presumably became extinct soon after its type was collected in 1823 (BirdLife International 2011).,EX,,,,,rho=ln(maxS/actualS),,,,,,
Turdidae,Amaui Myadestes woahensis,"Hawaiian Is, USA",1825,,1825,"The species is known only from the type, collected by Bloxam from O‘ahu in 1825 (BirdLife International 2011).",EX,,DATE,EXTINCT,EXTANT,de=0,de=100,de=104,de=50,de=100,de=150,de=200
Fringillidae,Bonin Grosbeak Chaunoproctus ferreorostris,"Ogasawara Is, Japan",1828,,1828,It was last recorded in 1828. Local rumours that it persisted until the 1890s were never substantiated (Brazil 1991).,EX,,1500,0,10000,0,0.009950331,0.010346292,0.004987542,0.009950331,0.014888612,0.019802627
Cuculidae,Snail-eating Coua Coua delalandei,Madagascar,1834,,1834,It has not been reported since 1834 (Morris and Hawkins 1998).,EX,,1550,6,9994,0.00060018,0.010550511,0.010946472,0.005587722,0.010550511,0.015488793,0.020402807
Columbidae,Mauritius Blue-pigeon Alectroenas nitidissima,Mauritius,1835,1832–1837),1835 (1832–1837),"It was reported to still be present by Desjardins (1832), but was extinct by the mid-1930s (Cheke 1987).",EX,,1600,6,9994,0.00060018,0.010550511,0.010946472,0.005587722,0.010550511,0.015488793,0.020402807
Psittacidae,Black-fronted Parakeet Cyanoramphus zealandicus,"Tahiti, French Polynesia",1844,,1844,The last specimen was collected by de Marolles in 1844 (Voisin and Voisin 1995).,EX,,1650,7,9993,0.000700245,0.010650576,0.011046537,0.005687787,0.010650576,0.015588858,0.020502872
Strigidae,Mauritius Owl Mascarenotus sauzieri,Mauritius,1848,1837–1859),1848 (1837–1859),The last reports were in 1837 and Clark specifically wrote that it was extinct in 1859 (BirdLife International 2011).,EX,,1700,19,9981,0.001901807,0.011852138,0.012248099,0.006889349,0.011852138,0.01679042,0.021704435
Phalacrocoracidae,Pallas's Cormorant Phalacrocorax perspicillatus,"Komandorski Is, Russia",1852,1840–1857),1852 (1840–1857),"The five known specimens were collected during 1840–1850. In 1882, Stejneger was told by the island's residents that the last birds had disappeared about 30 years before (BirdLife International 2011).",EX,,1750,26,9974,0.002603386,0.012553717,0.012949678,0.007590927,0.012553717,0.017491998,0.022406013
Alcidae,Great Auk Pinguinus impennis,N Atlantic,1852,,1852,"The last known pair were killed on Eldey I, Iceland, in 1844, and the last live bird was seen off the Newfoundland Banks in 1852 (BirdLife International 2011).",EX,,1800,43,9957,0.004309272,0.014259602,0.014655564,0.009296813,0.014259602,0.019197884,0.024111899
Rallidae,Kosrae Crake Porzana monasa,"Kosrae, Micronesia",1853,1827–1878),1853 (1827–1878),The only two known specimens were collected in 1827–1828. The species declined to extinction over the next half-century following the arrival of rats (Rattus spp.) from missionary and whaling ships in the 1830s and 1840s (BirdLife International 2011).,EX,,1850,55,9945,0.005515181,0.015465512,0.015861473,0.010502722,0.015465512,0.020403793,0.025317808
Sturnidae,Kosrae Starling Aplonis corvina,"Kosrae, Micronesia",1854,1828–1880),1854 (1828–1880),"Known from two specimens collected in 1828, this species was extinct by the time Finsch visited the island in 1880 (BirdLife International 2011).",EX,,1900,86,9914,0.008637193,0.018587524,0.018983485,0.013624735,0.018587524,0.023525806,0.028439821
Sturnidae,Reunion Starling Fregilupus varius,Réunion,1855,1850–1860),1855 (1850–1860),"The last specimen was shot in 1837, and the species became extinct between 1850 and 1860 (BirdLife International 2011).",EX,,1950,113,9887,0.01136433,0.021314661,0.021710622,0.016351872,0.021314661,0.026252943,0.031166957
Rallidae,Dieffenbach's Rail Gallirallus dieffenbachii,"Chatham Is, New Zealand",1856,1840–1872),1856 (1840–1872),"Already scarce when the type specimen was collected in 1840, the species was extinct by 1872 (BirdLife International 2011).",EX,,2000,133,9867,0.013389237,0.023339568,0.023735529,0.018376779,0.023339568,0.02827785,0.033191864
Mohoidae,Kioea Chaetoptila angustipluma,"Hawaiian Is, USA",1859,,1859,The last specimen was collected in 1859 (BirdLife International 2011).,EX,,2012,134,9866,0.01349059,0.023440921,0.023836882,0.018478132,0.023440921,0.028379203,0.033293217
Turdidae,Bonin Thrush Zoothera terrestris,"Ogasawara Is, Japan",1859,1828–1889),1859 (1828–1889),"Known from four specimens collected in 1828, this species could not be found when the island was next visited by an ornithologist, in 1889 (BirdLife International 2011).",EX,"NB species only, ""EX"" only",,,,,,,,,,
Rallidae,New Caledonia Gallinule Porphyrio kukwiedei,"Grande Terre, New Caledonia",1860,,1860,"The only historical record of the species is a passage from Verreaux and Des Murs written in 1860, noting the presence of birds the size of turkeys in marshy areas (BirdLife International 2011).",EX,,,,,,,,,,,
Trochilidae,Gould's Emerald Chlorostilbon elegans,Jamaica,1860,,1860,The species is known only from the type specimen collected in 1860 (BirdLife International 2011).,EX,,,,,,,,,,,
Mohoidae,Oahu Oo Moho apicalis,"Hawaiian Is, USA",1864,1837–1890),1864 (1837–1890),The species has not been recorded since 1837. None of the collectors visiting O‘ahu between 1890 and 1900 found any trace of it (Greenway 1967).,EX,,,,,,,,,,,
